strategy,model,feature,score_type,score,interpretation_limit
median_all,random_forest,f_205,importance,0.0074388961452145855,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_519,importance,0.007339783115498598,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_183,importance,0.007237498587754898,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_129,importance,0.006973571440967849,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_247,importance,0.006821631695852792,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_130,importance,0.0062660632183534045,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_021,importance,0.006195268972272307,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_351,importance,0.006135972558266268,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_341,importance,0.0060471687674581685,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_213,importance,0.00559757915981732,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_065,importance,0.005421232796945009,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_031,importance,0.005386427572718886,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_081,importance,0.004692086896804467,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
median_all,random_forest,f_123,importance,0.0046498178313793175,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_425,abs_coefficient,1.5233926899776726,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_059,abs_coefficient,1.5102422799589355,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_132,abs_coefficient,1.433189094171094,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_056,abs_coefficient,1.3980821522180515,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_216,abs_coefficient,1.3287893510340794,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_277,abs_coefficient,1.1089660177458427,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_577,abs_coefficient,1.0196360242693139,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_075,abs_coefficient,1.01539530736338,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_017,abs_coefficient,0.9925968839502666,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_348,abs_coefficient,0.9521715729767019,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_305,abs_coefficient,0.9337138653034524,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_415,abs_coefficient,0.9324659822195208,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_332,abs_coefficient,0.8839057353365274,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_365,abs_coefficient,0.8822627634359884,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_164,abs_coefficient,0.8772904123798312,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_333,abs_coefficient,0.8655841454289609,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_388,abs_coefficient,0.8519727114764344,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_124,abs_coefficient,0.8346087685602303,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_067,abs_coefficient,0.833951542544704,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,logistic_regression,f_129,abs_coefficient,0.8334733635195598,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_059,importance,0.013654632768954764,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_103,importance,0.013394950725209338,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_477,importance,0.009992520065357223,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_205,importance,0.009685581663358114,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_065,importance,0.009573634368573187,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_129,importance,0.008017705723229514,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_033,importance,0.007464871396317432,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_064,importance,0.0071328622540220675,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_130,importance,0.007071296718150571,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_247,importance,0.006851232607352321,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_519,importance,0.006751219683961572,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_021,importance,0.006101520561306826,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_510,importance,0.006062057564873285,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_341,importance,0.005870435614061191,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_031,importance,0.005641162183588721,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_319,importance,0.005465874517109231,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_213,importance,0.00544502872180231,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_180,importance,0.0053418108611430195,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_417,importance,0.005112885926891546,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
drop_high_missing,random_forest,f_423,importance,0.005097208664056071,"anonymous feature; treat as follow-up inspection candidate, not confirmed root cause"
